brass_acoustic_046-101-050:{'correct_value': 1, 'wrong_value': 0, 'correct_value_percentage': 9.956558147394823e-10, 'wrong_value_percentage': 98.95952343940735}
keyboard_electronic_078-031-127:{'correct_value': 4, 'wrong_value': 0, 'correct_value_percentage': 42.09723472595215, 'wrong_value_percentage': 48.92253875732422}
guitar_electronic_022-058-050:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 7.517881691455841, 'wrong_value_percentage': 82.5735330581665}
brass_acoustic_046-101-075:{'correct_value': 1, 'wrong_value': 0, 'correct_value_percentage': 9.956558147394823e-10, 'wrong_value_percentage': 98.95952343940735}
organ_electronic_007-071-075:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 2.0740358763760014e-06, 'wrong_value_percentage': 99.99301433563232}
keyboard_acoustic_004-096-100:{'correct_value': 4, 'wrong_value': 5, 'correct_value_percentage': 40.96047282218933, 'wrong_value_percentage': 58.630383014678955}
organ_electronic_007-087-075:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 5.070762085779279e-05, 'wrong_value_percentage': 99.99967813491821}
bass_synthetic_009-087-025:{'correct_value': 0, 'wrong_value': 9, 'correct_value_percentage': 0.014686619397252798, 'wrong_value_percentage': 99.98475313186646}
bass_synthetic_034-055-050:{'correct_value': 0, 'wrong_value': 4, 'correct_value_percentage': 30.98354935646057, 'wrong_value_percentage': 69.01036500930786}
vocal_synthetic_003-030-127:{'correct_value': 9, 'wrong_value': 0, 'correct_value_percentage': 48.584696650505066, 'wrong_value_percentage': 51.41481161117554}
mallet_acoustic_062-103-100:{'correct_value': 5, 'wrong_value': 4, 'correct_value_percentage': 6.796610355377197, 'wrong_value_percentage': 56.72488212585449}
bass_synthetic_135-102-050:{'correct_value': 0, 'wrong_value': 5, 'correct_value_percentage': 9.575724601745605, 'wrong_value_percentage': 48.63932728767395}
reed_acoustic_023-050-050:{'correct_value': 7, 'wrong_value': 0, 'correct_value_percentage': 4.095978312079751e-06, 'wrong_value_percentage': 76.39256119728088}
flute_synthetic_000-104-025:{'correct_value': 2, 'wrong_value': 6, 'correct_value_percentage': 0.48598330467939377, 'wrong_value_percentage': 78.79528999328613}
keyboard_acoustic_004-102-025:{'correct_value': 4, 'wrong_value': 8, 'correct_value_percentage': 2.9111308977007866, 'wrong_value_percentage': 61.22817397117615}
bass_synthetic_135-083-127:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 0.6022193003445864, 'wrong_value_percentage': 83.08189511299133}
reed_acoustic_011-051-075:{'correct_value': 7, 'wrong_value': 2, 'correct_value_percentage': 3.177923336625099, 'wrong_value_percentage': 96.66783809661865}
organ_electronic_007-053-050:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 2.65588817605078e-07, 'wrong_value_percentage': 99.9994158744812}
reed_acoustic_023-081-100:{'correct_value': 7, 'wrong_value': 1, 'correct_value_percentage': 7.086958930813125e-05, 'wrong_value_percentage': 99.94531273841858}
bass_synthetic_034-045-050:{'correct_value': 0, 'wrong_value': 4, 'correct_value_percentage': 0.9525052271783352, 'wrong_value_percentage': 99.03963804244995}
brass_acoustic_006-079-127:{'correct_value': 1, 'wrong_value': 7, 'correct_value_percentage': 2.400588244199753, 'wrong_value_percentage': 97.59918451309204}
organ_electronic_028-095-025:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 0.014531187480315566, 'wrong_value_percentage': 63.67281675338745}
guitar_electronic_028-105-050:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 0.07248672773130238, 'wrong_value_percentage': 86.59548163414001}
brass_acoustic_046-104-025:{'correct_value': 1, 'wrong_value': 0, 'correct_value_percentage': 9.956558147394823e-10, 'wrong_value_percentage': 98.95952343940735}
guitar_electronic_028-064-050:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 1.0948496870696545, 'wrong_value_percentage': 97.7787971496582}
reed_acoustic_011-057-100:{'correct_value': 7, 'wrong_value': 1, 'correct_value_percentage': 1.343623548746109, 'wrong_value_percentage': 98.65520000457764}
organ_electronic_028-055-025:{'correct_value': 6, 'wrong_value': 0, 'correct_value_percentage': 21.600207686424255, 'wrong_value_percentage': 70.88220715522766}
string_acoustic_014-039-075:{'correct_value': 8, 'wrong_value': 0, 'correct_value_percentage': 20.606927573680878, 'wrong_value_percentage': 67.16911196708679}
guitar_electronic_028-107-075:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 0.04000488552264869, 'wrong_value_percentage': 79.68379855155945}
bass_synthetic_009-013-100:{'correct_value': 0, 'wrong_value': 1, 'correct_value_percentage': 30.522421002388, 'wrong_value_percentage': 69.33984160423279}
bass_synthetic_135-069-025:{'correct_value': 0, 'wrong_value': 4, 'correct_value_percentage': 6.915312260389328, 'wrong_value_percentage': 51.8180787563324}
bass_synthetic_134-100-100:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 23.347249627113342, 'wrong_value_percentage': 76.42000317573547}
brass_acoustic_016-084-100:{'correct_value': 1, 'wrong_value': 0, 'correct_value_percentage': 0.0005746547685703263, 'wrong_value_percentage': 98.76348376274109}
mallet_acoustic_062-054-025:{'correct_value': 5, 'wrong_value': 3, 'correct_value_percentage': 24.526362121105194, 'wrong_value_percentage': 63.94219398498535}
bass_synthetic_034-093-100:{'correct_value': 0, 'wrong_value': 4, 'correct_value_percentage': 30.784910917282104, 'wrong_value_percentage': 68.99166107177734}
mallet_acoustic_062-044-127:{'correct_value': 5, 'wrong_value': 9, 'correct_value_percentage': 0.4667546134442091, 'wrong_value_percentage': 99.36566948890686}
reed_acoustic_023-033-127:{'correct_value': 7, 'wrong_value': 0, 'correct_value_percentage': 0.00016606084045633906, 'wrong_value_percentage': 92.19851493835449}
mallet_acoustic_062-096-025:{'correct_value': 5, 'wrong_value': 0, 'correct_value_percentage': 10.090646147727966, 'wrong_value_percentage': 89.03108835220337}
organ_electronic_028-024-075:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 15.894460678100586, 'wrong_value_percentage': 84.03865098953247}
bass_synthetic_134-040-127:{'correct_value': 0, 'wrong_value': 4, 'correct_value_percentage': 14.445918798446655, 'wrong_value_percentage': 44.03330981731415}
organ_electronic_007-055-075:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 2.7899226331951077e-09, 'wrong_value_percentage': 99.99994039535522}
keyboard_synthetic_000-069-100:{'correct_value': 4, 'wrong_value': 0, 'correct_value_percentage': 0.2970875008031726, 'wrong_value_percentage': 84.49171781539917}
brass_acoustic_046-091-025:{'correct_value': 1, 'wrong_value': 0, 'correct_value_percentage': 9.956558147394823e-10, 'wrong_value_percentage': 98.95952343940735}
keyboard_synthetic_000-054-100:{'correct_value': 4, 'wrong_value': 0, 'correct_value_percentage': 7.111600786447525, 'wrong_value_percentage': 77.3289144039154}
bass_synthetic_135-069-075:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 11.704348772764206, 'wrong_value_percentage': 56.55561089515686}
bass_synthetic_134-106-050:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 24.390746653079987, 'wrong_value_percentage': 75.49163103103638}
reed_acoustic_023-075-025:{'correct_value': 7, 'wrong_value': 0, 'correct_value_percentage': 1.0642005054961601e-07, 'wrong_value_percentage': 99.82821941375732}
bass_synthetic_034-090-100:{'correct_value': 0, 'wrong_value': 4, 'correct_value_percentage': 18.752029538154602, 'wrong_value_percentage': 81.16605877876282}
bass_synthetic_134-078-025:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 6.869541108608246, 'wrong_value_percentage': 72.43337035179138}
guitar_acoustic_014-036-025:{'correct_value': 3, 'wrong_value': 0, 'correct_value_percentage': 16.839072108268738, 'wrong_value_percentage': 52.84143090248108}
guitar_electronic_022-077-127:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 7.516314089298248, 'wrong_value_percentage': 72.46368527412415}
guitar_acoustic_030-076-050:{'correct_value': 3, 'wrong_value': 5, 'correct_value_percentage': 1.9620655104517937, 'wrong_value_percentage': 93.66376399993896}
organ_electronic_007-055-050:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 1.0007089601415942e-07, 'wrong_value_percentage': 99.99808073043823}
bass_synthetic_134-083-100:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 17.52142161130905, 'wrong_value_percentage': 79.95613813400269}
guitar_acoustic_030-048-050:{'correct_value': 3, 'wrong_value': 0, 'correct_value_percentage': 6.403215974569321, 'wrong_value_percentage': 44.78420913219452}
organ_electronic_113-065-100:{'correct_value': 6, 'wrong_value': 4, 'correct_value_percentage': 31.046178936958313, 'wrong_value_percentage': 61.525917053222656}
guitar_acoustic_014-085-050:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 10.29251292347908, 'wrong_value_percentage': 86.06849908828735}
guitar_acoustic_021-036-050:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 39.88150358200073, 'wrong_value_percentage': 57.894885540008545}
organ_electronic_007-060-127:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 5.222797838655424e-06, 'wrong_value_percentage': 99.89908337593079}
organ_electronic_028-041-127:{'correct_value': 6, 'wrong_value': 8, 'correct_value_percentage': 2.5341563514302834e-05, 'wrong_value_percentage': 99.99593496322632}
guitar_electronic_028-067-025:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 1.7066994681954384, 'wrong_value_percentage': 94.74053382873535}
bass_synthetic_135-085-127:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 0.7120352704077959, 'wrong_value_percentage': 81.8662166595459}
brass_acoustic_016-067-127:{'correct_value': 1, 'wrong_value': 7, 'correct_value_percentage': 0.1073347870260477, 'wrong_value_percentage': 48.77956509590149}
reed_acoustic_023-053-100:{'correct_value': 7, 'wrong_value': 0, 'correct_value_percentage': 3.0501015046979774e-07, 'wrong_value_percentage': 74.37029480934143}
vocal_synthetic_003-082-025:{'correct_value': 9, 'wrong_value': 6, 'correct_value_percentage': 4.617483913898468, 'wrong_value_percentage': 93.2106077671051}
reed_acoustic_023-044-127:{'correct_value': 7, 'wrong_value': 4, 'correct_value_percentage': 2.5755883537037505e-08, 'wrong_value_percentage': 83.84623527526855}
bass_synthetic_134-081-100:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 15.559297800064087, 'wrong_value_percentage': 79.09029126167297}
bass_synthetic_034-080-127:{'correct_value': 0, 'wrong_value': 4, 'correct_value_percentage': 1.287587359547615, 'wrong_value_percentage': 98.69130849838257}
bass_synthetic_034-043-127:{'correct_value': 0, 'wrong_value': 4, 'correct_value_percentage': 1.8675338476896286, 'wrong_value_percentage': 98.13045263290405}
reed_acoustic_011-045-050:{'correct_value': 7, 'wrong_value': 1, 'correct_value_percentage': 23.36123138666153, 'wrong_value_percentage': 48.20202887058258}
bass_synthetic_135-047-025:{'correct_value': 0, 'wrong_value': 5, 'correct_value_percentage': 36.13996505737305, 'wrong_value_percentage': 43.18895637989044}
bass_synthetic_134-092-050:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 16.802489757537842, 'wrong_value_percentage': 83.08374285697937}
organ_electronic_007-084-127:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 2.1081459067318065e-05, 'wrong_value_percentage': 99.9995231628418}
bass_synthetic_135-073-075:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 5.339283496141434, 'wrong_value_percentage': 57.85766243934631}
bass_synthetic_033-069-127:{'correct_value': 0, 'wrong_value': 4, 'correct_value_percentage': 15.974760055541992, 'wrong_value_percentage': 83.85160565376282}
mallet_acoustic_062-054-100:{'correct_value': 5, 'wrong_value': 9, 'correct_value_percentage': 15.682674944400787, 'wrong_value_percentage': 79.94480729103088}
guitar_acoustic_014-042-127:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 25.806879997253418, 'wrong_value_percentage': 59.36710238456726}
bass_synthetic_009-079-025:{'correct_value': 0, 'wrong_value': 9, 'correct_value_percentage': 0.4865983035415411, 'wrong_value_percentage': 99.50518012046814}
guitar_acoustic_030-064-025:{'correct_value': 3, 'wrong_value': 0, 'correct_value_percentage': 12.07674816250801, 'wrong_value_percentage': 49.99730587005615}
reed_acoustic_023-054-075:{'correct_value': 7, 'wrong_value': 0, 'correct_value_percentage': 0.00012349358939900412, 'wrong_value_percentage': 99.88893866539001}
keyboard_electronic_098-105-100:{'correct_value': 4, 'wrong_value': 5, 'correct_value_percentage': 44.04740333557129, 'wrong_value_percentage': 47.00771868228912}
keyboard_electronic_069-056-100:{'correct_value': 4, 'wrong_value': 0, 'correct_value_percentage': 9.317463636398315, 'wrong_value_percentage': 88.1653904914856}
keyboard_electronic_002-081-100:{'correct_value': 4, 'wrong_value': 3, 'correct_value_percentage': 13.278722763061523, 'wrong_value_percentage': 85.50500869750977}
bass_synthetic_135-066-075:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 20.840172469615936, 'wrong_value_percentage': 51.49015188217163}
guitar_electronic_028-085-100:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 0.9110847488045692, 'wrong_value_percentage': 81.90099596977234}
organ_electronic_007-056-100:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 6.690869525094456e-08, 'wrong_value_percentage': 99.9948263168335}
reed_acoustic_023-077-075:{'correct_value': 7, 'wrong_value': 0, 'correct_value_percentage': 5.70462326265897e-06, 'wrong_value_percentage': 94.74977850914001}
reed_acoustic_023-043-025:{'correct_value': 7, 'wrong_value': 4, 'correct_value_percentage': 5.275964040651893e-09, 'wrong_value_percentage': 91.19016528129578}
brass_acoustic_016-067-100:{'correct_value': 1, 'wrong_value': 4, 'correct_value_percentage': 0.016941393550951034, 'wrong_value_percentage': 43.50953996181488}
organ_electronic_028-041-100:{'correct_value': 6, 'wrong_value': 8, 'correct_value_percentage': 0.38783897180110216, 'wrong_value_percentage': 99.50489401817322}
guitar_acoustic_021-035-100:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 12.308237701654434, 'wrong_value_percentage': 83.55525135993958}
organ_electronic_028-049-025:{'correct_value': 6, 'wrong_value': 0, 'correct_value_percentage': 1.4056781306862831, 'wrong_value_percentage': 97.25285172462463}
reed_acoustic_023-074-127:{'correct_value': 7, 'wrong_value': 1, 'correct_value_percentage': 3.917686730581238e-08, 'wrong_value_percentage': 99.46787357330322}
string_acoustic_014-038-075:{'correct_value': 8, 'wrong_value': 0, 'correct_value_percentage': 3.157154470682144, 'wrong_value_percentage': 96.09125256538391}
string_acoustic_014-025-050:{'correct_value': 8, 'wrong_value': 0, 'correct_value_percentage': 5.0998494029045105, 'wrong_value_percentage': 93.51792931556702}
brass_acoustic_016-085-050:{'correct_value': 1, 'wrong_value': 0, 'correct_value_percentage': 12.58174329996109, 'wrong_value_percentage': 84.53012108802795}
reed_acoustic_023-057-075:{'correct_value': 7, 'wrong_value': 0, 'correct_value_percentage': 4.241297535401145e-07, 'wrong_value_percentage': 98.49321246147156}
guitar_electronic_028-096-050:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 0.5308741703629494, 'wrong_value_percentage': 92.19524264335632}
keyboard_electronic_098-102-127:{'correct_value': 4, 'wrong_value': 3, 'correct_value_percentage': 32.32582211494446, 'wrong_value_percentage': 36.92745864391327}
brass_acoustic_016-070-025:{'correct_value': 1, 'wrong_value': 0, 'correct_value_percentage': 0.0007277284112205962, 'wrong_value_percentage': 76.60180926322937}
guitar_acoustic_014-096-075:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 3.5119641572237015, 'wrong_value_percentage': 63.55072259902954}
bass_synthetic_134-095-100:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 29.235339164733887, 'wrong_value_percentage': 70.57287096977234}
reed_acoustic_011-057-075:{'correct_value': 7, 'wrong_value': 1, 'correct_value_percentage': 4.366761073470116, 'wrong_value_percentage': 95.63007354736328}
brass_acoustic_016-089-050:{'correct_value': 1, 'wrong_value': 2, 'correct_value_percentage': 0.009706454147817567, 'wrong_value_percentage': 91.5106475353241}
brass_acoustic_046-099-127:{'correct_value': 1, 'wrong_value': 0, 'correct_value_percentage': 9.956558147394823e-10, 'wrong_value_percentage': 98.95952343940735}
guitar_acoustic_030-105-025:{'correct_value': 3, 'wrong_value': 0, 'correct_value_percentage': 3.6650817841291428, 'wrong_value_percentage': 75.96666812896729}
guitar_electronic_028-077-050:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 2.831794135272503, 'wrong_value_percentage': 86.38140559196472}
organ_electronic_007-039-100:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 0.01922364317579195, 'wrong_value_percentage': 99.37028288841248}
bass_synthetic_134-088-025:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 18.460772931575775, 'wrong_value_percentage': 80.73751926422119}
guitar_electronic_028-068-050:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 4.498731717467308, 'wrong_value_percentage': 91.86059236526489}
organ_electronic_028-070-050:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 0.019118479394819587, 'wrong_value_percentage': 93.43239665031433}
reed_acoustic_023-048-100:{'correct_value': 7, 'wrong_value': 0, 'correct_value_percentage': 8.61576865407443e-08, 'wrong_value_percentage': 79.99476790428162}
keyboard_synthetic_000-058-100:{'correct_value': 4, 'wrong_value': 0, 'correct_value_percentage': 0.049291091272607446, 'wrong_value_percentage': 98.35666418075562}
bass_synthetic_134-080-100:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 15.210635960102081, 'wrong_value_percentage': 81.13627433776855}
bass_synthetic_134-052-100:{'correct_value': 0, 'wrong_value': 4, 'correct_value_percentage': 15.211223065853119, 'wrong_value_percentage': 44.450488686561584}
keyboard_acoustic_004-103-025:{'correct_value': 4, 'wrong_value': 3, 'correct_value_percentage': 1.797344721853733, 'wrong_value_percentage': 66.28139019012451}
organ_electronic_028-055-100:{'correct_value': 6, 'wrong_value': 8, 'correct_value_percentage': 25.20085871219635, 'wrong_value_percentage': 68.70312690734863}
bass_synthetic_135-057-127:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 31.999561190605164, 'wrong_value_percentage': 58.05522799491882}
guitar_acoustic_030-021-127:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 0.3062695963308215, 'wrong_value_percentage': 92.53737926483154}
keyboard_electronic_069-063-100:{'correct_value': 4, 'wrong_value': 0, 'correct_value_percentage': 36.71174347400665, 'wrong_value_percentage': 52.84109711647034}
guitar_acoustic_010-049-050:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 2.469564788043499, 'wrong_value_percentage': 92.12847352027893}
guitar_acoustic_014-102-100:{'correct_value': 3, 'wrong_value': 5, 'correct_value_percentage': 28.187742829322815, 'wrong_value_percentage': 55.36895990371704}
keyboard_electronic_002-068-100:{'correct_value': 4, 'wrong_value': 3, 'correct_value_percentage': 42.385149002075195, 'wrong_value_percentage': 56.41157031059265}
organ_electronic_028-084-050:{'correct_value': 6, 'wrong_value': 2, 'correct_value_percentage': 2.285330396034624e-05, 'wrong_value_percentage': 94.26842927932739}
guitar_electronic_022-060-075:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 3.5589151084423065, 'wrong_value_percentage': 85.35081148147583}
bass_synthetic_134-095-075:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 19.290904700756073, 'wrong_value_percentage': 80.64135909080505}
reed_acoustic_023-079-100:{'correct_value': 7, 'wrong_value': 0, 'correct_value_percentage': 3.3403421695332725e-08, 'wrong_value_percentage': 81.12600445747375}
guitar_acoustic_010-050-100:{'correct_value': 3, 'wrong_value': 0, 'correct_value_percentage': 19.972680509090424, 'wrong_value_percentage': 61.98247671127319}
guitar_electronic_022-037-075:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 21.42510712146759, 'wrong_value_percentage': 62.30108141899109}
mallet_acoustic_062-063-100:{'correct_value': 5, 'wrong_value': 4, 'correct_value_percentage': 43.22762191295624, 'wrong_value_percentage': 56.226956844329834}
bass_synthetic_135-065-075:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 31.379875540733337, 'wrong_value_percentage': 48.9167720079422}
organ_electronic_007-035-100:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 0.13943740632385015, 'wrong_value_percentage': 99.71973896026611}
guitar_acoustic_021-022-050:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 0.37490909453481436, 'wrong_value_percentage': 94.5935606956482}
guitar_electronic_022-061-075:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 3.6435671150684357, 'wrong_value_percentage': 82.18943476676941}
organ_electronic_007-042-100:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 0.013278381084091961, 'wrong_value_percentage': 97.95582890510559}
bass_synthetic_135-105-025:{'correct_value': 0, 'wrong_value': 5, 'correct_value_percentage': 18.82515847682953, 'wrong_value_percentage': 72.11312651634216}
organ_electronic_007-009-050:{'correct_value': 6, 'wrong_value': 3, 'correct_value_percentage': 0.0014053422091819812, 'wrong_value_percentage': 99.327552318573}
organ_electronic_007-057-075:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 4.332616931890243e-07, 'wrong_value_percentage': 99.9995470046997}
guitar_acoustic_021-029-025:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 8.353905379772186, 'wrong_value_percentage': 50.55955648422241}
bass_synthetic_135-065-100:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 24.317070841789246, 'wrong_value_percentage': 67.72522330284119}
guitar_acoustic_014-073-100:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 23.197627067565918, 'wrong_value_percentage': 59.96990203857422}
bass_synthetic_135-049-100:{'correct_value': 0, 'wrong_value': 5, 'correct_value_percentage': 36.64575815200806, 'wrong_value_percentage': 52.405768632888794}
keyboard_electronic_069-061-025:{'correct_value': 4, 'wrong_value': 0, 'correct_value_percentage': 25.281545519828796, 'wrong_value_percentage': 69.16409730911255}
guitar_acoustic_030-074-050:{'correct_value': 3, 'wrong_value': 5, 'correct_value_percentage': 0.16216954682022333, 'wrong_value_percentage': 98.38318824768066}
keyboard_synthetic_000-048-127:{'correct_value': 4, 'wrong_value': 0, 'correct_value_percentage': 0.027452883659861982, 'wrong_value_percentage': 99.55547451972961}
keyboard_electronic_078-052-127:{'correct_value': 4, 'wrong_value': 3, 'correct_value_percentage': 19.15128082036972, 'wrong_value_percentage': 70.58196663856506}
bass_synthetic_135-093-100:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 0.967375747859478, 'wrong_value_percentage': 49.826955795288086}
guitar_acoustic_021-025-075:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 0.7041458040475845, 'wrong_value_percentage': 93.5973048210144}
keyboard_synthetic_000-093-127:{'correct_value': 4, 'wrong_value': 5, 'correct_value_percentage': 0.9328631684184074, 'wrong_value_percentage': 84.49530005455017}
bass_synthetic_135-107-050:{'correct_value': 0, 'wrong_value': 5, 'correct_value_percentage': 15.022920072078705, 'wrong_value_percentage': 66.50159955024719}
brass_acoustic_046-107-127:{'correct_value': 1, 'wrong_value': 0, 'correct_value_percentage': 9.956558147394823e-10, 'wrong_value_percentage': 98.95952343940735}
organ_electronic_007-040-127:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 0.586334802210331, 'wrong_value_percentage': 95.42009830474854}
string_acoustic_014-027-100:{'correct_value': 8, 'wrong_value': 0, 'correct_value_percentage': 1.7248176038265228, 'wrong_value_percentage': 96.33086323738098}
guitar_electronic_028-052-050:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 2.6690060272812843, 'wrong_value_percentage': 96.93277478218079}
keyboard_electronic_078-029-075:{'correct_value': 4, 'wrong_value': 0, 'correct_value_percentage': 19.585490226745605, 'wrong_value_percentage': 57.05946683883667}
mallet_acoustic_062-067-075:{'correct_value': 5, 'wrong_value': 4, 'correct_value_percentage': 39.589253067970276, 'wrong_value_percentage': 52.73759365081787}
organ_electronic_007-052-025:{'correct_value': 6, 'wrong_value': 9, 'correct_value_percentage': 2.2163808566233456e-07, 'wrong_value_percentage': 99.99836683273315}
organ_electronic_028-089-100:{'correct_value': 6, 'wrong_value': 2, 'correct_value_percentage': 1.0700201835689427e-07, 'wrong_value_percentage': 99.7745931148529}
guitar_acoustic_010-056-050:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 3.5017140209674835, 'wrong_value_percentage': 93.69759559631348}
guitar_electronic_022-054-100:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 1.6389520838856697, 'wrong_value_percentage': 88.13148140907288}
mallet_acoustic_062-048-100:{'correct_value': 5, 'wrong_value': 9, 'correct_value_percentage': 25.731804966926575, 'wrong_value_percentage': 71.46929502487183}
guitar_electronic_028-057-075:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 7.398546487092972, 'wrong_value_percentage': 91.63261651992798}
organ_electronic_028-099-050:{'correct_value': 6, 'wrong_value': 2, 'correct_value_percentage': 0.024209765251725912, 'wrong_value_percentage': 66.20375514030457}
bass_synthetic_009-084-025:{'correct_value': 0, 'wrong_value': 9, 'correct_value_percentage': 8.82050022482872, 'wrong_value_percentage': 88.98964524269104}
mallet_acoustic_062-091-100:{'correct_value': 5, 'wrong_value': 4, 'correct_value_percentage': 4.217030853033066, 'wrong_value_percentage': 86.28044724464417}
guitar_electronic_022-043-075:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 8.797599375247955, 'wrong_value_percentage': 90.56082963943481}
bass_synthetic_135-102-075:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 9.494704753160477, 'wrong_value_percentage': 51.18334889411926}
guitar_electronic_022-089-050:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 0.8223435841500759, 'wrong_value_percentage': 71.58756256103516}
guitar_acoustic_014-027-025:{'correct_value': 3, 'wrong_value': 1, 'correct_value_percentage': 0.6469665560871363, 'wrong_value_percentage': 58.556461334228516}
guitar_electronic_028-099-050:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 0.03150852571707219, 'wrong_value_percentage': 85.24731993675232}
bass_synthetic_134-106-100:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 47.048357129096985, 'wrong_value_percentage': 52.659809589385986}
organ_electronic_028-042-100:{'correct_value': 6, 'wrong_value': 8, 'correct_value_percentage': 0.001220879585162038, 'wrong_value_percentage': 99.99796152114868}
bass_synthetic_135-076-127:{'correct_value': 0, 'wrong_value': 3, 'correct_value_percentage': 5.3006574511528015, 'wrong_value_percentage': 67.9303228855133}
reed_acoustic_023-036-075:{'correct_value': 7, 'wrong_value': 0, 'correct_value_percentage': 0.00023766704089211999, 'wrong_value_percentage': 90.05944728851318}
guitar_electronic_028-086-025:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 2.6094742119312286, 'wrong_value_percentage': 83.41152667999268}
bass_synthetic_134-073-075:{'correct_value': 0, 'wrong_value': 4, 'correct_value_percentage': 19.687563180923462, 'wrong_value_percentage': 58.69459509849548}
guitar_acoustic_030-062-025:{'correct_value': 3, 'wrong_value': 4, 'correct_value_percentage': 2.914898470044136, 'wrong_value_percentage': 64.51517343521118}
keyboard_electronic_002-093-127:{'correct_value': 4, 'wrong_value': 3, 'correct_value_percentage': 13.838472962379456, 'wrong_value_percentage': 51.13372206687927}
mallet_acoustic_062-055-025:{'correct_value': 5, 'wrong_value': 3, 'correct_value_percentage': 40.99651277065277, 'wrong_value_percentage': 53.56855392456055}
